game,region,releaseYear
Red,Kanto,1996
Blue,Kanto,1996
Yellow,Kanto,1998
Gold,Johto,1999
Silver,Johto,1999
Crystal,Johto,2000
Ruby,Hoenn,2002
Sapphire,Hoenn,2002
Colosseum,Orre,2003
Emerald,Hoenn,2004
FireRed,Kanto,2004
LeafGreen,Kanto,2004
XD: Gale of Darkness,Orre,2005
Diamond,Sinnoh,2006
Pearl,Sinnoh,2006
Platinum,Sinnoh,2008
Ranch,Ranch,2008
Heart Gold,Johto,2009
Soul Silver,Johto,2009
Black,Unova,2010
White,Unova,2010
Black 2,Unova,2012
White 2,Unova,2012
Dream Radar,Unova,2012
X,Kalos,2013
Y,Kalos,2013
Omega Ruby,Hoenn,2014
Alpha Sapphire,Hoenn,2014
Sun,Alola,2016
Moon,Alola,2016
Moon (demo),Alola,2016
Go,Go,2016
Ultra Sun,Alola,2017
Ultra Moon,Alola,2017
LG: Pikachu,Kanto,2018
LG: Eevee,Kanto,2018
Sword,Galar,2019
Shield,Galar,2019
Home,Home,2020
Brilliant Diamond,Sinnoh,2021
Shining Pearl,Sinnoh,2021
Legends: Arceus,Hisui,2022
Scarlet,Paldea,2022
Violet,Paldea,2022
Legends: Z-A,Kalos,2025
