dexNumber,pokemon,form,notes
0,Victini,,
1,Snivy,,
2,Servine,,
3,Serperior,,
4,Tepig,,
5,Pignite,,
6,Emboar,,
7,Oshawott,,
8,Dewott,,
9,Samurott,,
10,Patrat,,
11,Watchog,,
12,Purrloin,,
13,Liepard,,
14,Pidove,,
15,Tranquill,,
16,Unfezant,,
17,Sewaddle,,
18,Swadloon,,
19,Leavanny,,
20,Sunkern,,
21,Sunflora,,
22,Lillipup,,
23,Herdier,,
24,Stoutland,,
25,Mareep,,
26,Flaaffy,,
27,Ampharos,,
28,Psyduck,,
29,Golduck,,
30,Azurill,,
31,Marill,,
32,Azumarill,,
33,Riolu,,
34,Lucario,,
35,Dunsparce,,
36,Audino,,
37,Pansage,,
38,Simisage,,
39,Pansear,,
40,Simisear,,
41,Panpour,,
42,Simipour,,
43,Venipede,,
44,Whirlipede,,
45,Scolipede,,
46,Koffing,,
47,Weezing,,
48,Magnemite,,
49,Magneton,,
50,Magnezone,,
51,Growlithe,,
52,Arcanine,,
53,Magby,,
54,Magmar,,
55,Magmortar,,
56,Elekid,,
57,Electabuzz,,
58,Electivire,,
59,Rattata,,
60,Raticate,,
61,Zubat,,
62,Golbat,,
63,Crobat,,
64,Grimer,,
65,Muk,,
66,Woobat,,
67,Swoobat,,
68,Roggenrola,,
69,Boldore,,
70,Gigalith,,
71,Onix,,
72,Steelix,,
73,Timburr,,
74,Gurdurr,,
75,Conkeldurr,,
76,Drilbur,,
77,Excadrill,,
78,Skitty,,
79,Delcatty,,
80,Buneary,,
81,Lopunny,,
82,Cottonee,,
83,Whimsicott,,
84,Petilil,,
85,Lilligant,,
86,Munna,,
87,Musharna,,
88,Cleffa,,
89,Clefairy,,
90,Clefable,,
91,Eevee,,
92,Vaporeon,,
93,Jolteon,,
94,Flareon,,
95,Espeon,,
96,Umbreon,,
97,Leafeon,,
98,Glaceon,,
99,Sandile,,
100,Krokorok,,
101,Krookodile,,
102,Darumaka,,
103,Darmanitan,,
104,Basculin,,
105,Trubbish,,
106,Garbodor,,
107,Minccino,,
108,Cinccino,,
109,Rufflet,,
110,Braviary,,
111,Vullaby,,
112,Mandibuzz,,
113,Sandshrew,,
114,Sandslash,,
115,Dwebble,,
116,Crustle,,
117,Scraggy,,
118,Scrafty,,
119,Maractus,,
120,Sigilyph,,
121,Trapinch,,
122,Vibrava,,
123,Flygon,,
124,Yamask,,
125,Cofagrigus,,
126,Tirtouga,,
127,Carracosta,,
128,Archen,,
129,Archeops,,
130,Klink,,
131,Klang,,
132,Klinklang,,
133,Budew,,
134,Roselia,,
135,Roserade,,
136,Gothita,,
137,Gothorita,,
138,Gothitelle,,
139,Solosis,,
140,Duosion,,
141,Reuniclus,,
142,Combee,,
143,Vespiquen,,
144,Emolga,,
145,Heracross,,
146,Pinsir,,
147,Blitzle,,
148,Zebstrika,,
149,Buizel,,
150,Floatzel,,
151,Zorua,,
152,Zoroark,,
153,Ducklett,,
154,Swanna,,
155,Karrablast,,
156,Escavalier,,
157,Shelmet,,
158,Accelgor,,
159,Deerling,,
160,Sawsbuck,,
161,Foongus,,
162,Amoonguss,,
163,Castform,,
164,Nosepass,,
165,Probopass,,
166,Aron,,
167,Lairon,,
168,Aggron,,
169,Baltoy,,
170,Claydol,,
171,Larvesta,,
172,Volcarona,,
173,Joltik,,
174,Galvantula,,
175,Ferroseed,,
176,Ferrothorn,,
177,Tynamo,,
178,Eelektrik,,
179,Eelektross,,
180,Frillish,,
181,Jellicent,,
182,Alomomola,,
183,Axew,,
184,Fraxure,,
185,Haxorus,,
186,Zangoose,,
187,Seviper,,
188,Elgyem,,
189,Beheeyem,,
190,Litwick,,
191,Lampent,,
192,Chandelure,,
193,Heatmor,,
194,Durant,,
195,Cubchoo,,
196,Beartic,,
197,Cryogonal,,
198,Tornadus,,
199,Thundurus,,
200,Landorus,,
201,Skorupi,,
202,Drapion,,
203,Skarmory,,
204,Numel,,
205,Camerupt,,
206,Spoink,,
207,Grumpig,,
208,Drifloon,,
209,Drifblim,,
210,Shuppet,,
211,Banette,,
212,Wingull,,
213,Pelipper,,
214,Lunatone,,
215,Solrock,,
216,Absol,,
217,Tangela,,
218,Tangrowth,,
219,Mienfoo,,
220,Mienshao,,
221,Gligar,,
222,Gliscor,,
223,Pawniard,,
224,Bisharp,,
225,Cobalion,,
226,Terrakion,,
227,Virizion,,
228,Tympole,,
229,Palpitoad,,
230,Seismitoad,,
231,Stunfisk,,
232,Shuckle,,
233,Mantyke,,
234,Mantine,,
235,Remoraid,,
236,Octillery,,
237,Corsola,,
238,Staryu,,
239,Starmie,,
240,Wailmer,,
241,Wailord,,
242,Lapras,,
243,Spheal,,
244,Sealeo,,
245,Walrein,,
246,Swablu,,
247,Altaria,,
248,Vulpix,,
249,Ninetales,,
250,Bronzor,,
251,Bronzong,,
252,Sneasel,,
253,Weavile,,
254,Delibird,,
255,Vanillite,,
256,Vanillish,,
257,Vanilluxe,,
258,Swinub,,
259,Piloswine,,
260,Mamoswine,,
261,Ditto,,
262,Beldum,,
263,Metang,,
264,Metagross,,
265,Seel,,
266,Dewgong,,
267,Throh,,
268,Sawk,,
269,Bouffalant,,
270,Druddigon,,
271,Golett,,
272,Golurk,,
273,Deino,,
274,Zweilous,,
275,Hydreigon,,
276,Slakoth,,
277,Vigoroth,,
278,Slaking,,
279,Corphish,,
280,Crawdaunt,,
281,Igglybuff,,
282,Jigglypuff,,
283,Wigglytuff,,
284,Lickitung,,
285,Lickilicky,,
286,Yanma,,
287,Yanmega,,
288,Tropius,,
289,Carnivine,,
290,Croagunk,,
291,Toxicroak,,
292,Larvitar,,
293,Pupitar,,
294,Tyranitar,,
295,Reshiram,,
296,Zekrom,,
297,Kyurem,,
298,Keldeo,,
299,Meloetta,,
300,Genesect,,
