dexNumber,pokemon,form,notes
1,Chikorita,,
2,Bayleef,,
3,Meganium,,
4,Cyndaquil,,
5,Quilava,,
6,Typhlosion,,
7,Totodile,,
8,Croconaw,,
9,Feraligatr,,
10,Pidgey,,
11,Pidgeotto,,
12,Pidgeot,,
13,Spearow,,
14,Fearow,,
15,Hoothoot,,
16,Noctowl,,
17,Rattata,,
18,Raticate,,
19,Sentret,,
20,Furret,,
21,Pichu,,
22,Pikachu,,
23,Raichu,,
24,Caterpie,,
25,Metapod,,
26,Butterfree,,
27,Weedle,,
28,Kakuna,,
29,Beedrill,,
30,Ledyba,,
31,Ledian,,
32,Spinarak,,
33,Ariados,,
34,Geodude,,
35,Graveler,,
36,Golem,,
37,Zubat,,
38,Golbat,,
39,Crobat,,
40,Cleffa,,
41,Clefairy,,
42,Clefable,,
43,Igglybuff,,
44,Jigglypuff,,
45,Wigglytuff,,
46,Togepi,,
47,Togetic,,
48,Sandshrew,,
49,Sandslash,,
50,Ekans,,
51,Arbok,,
52,Dunsparce,,
53,Mareep,,
54,Flaaffy,,
55,Ampharos,,
56,Wooper,,
57,Quagsire,,
58,Gastly,,
59,Haunter,,
60,Gengar,,
61,Unown,,
62,Onix,,
63,Steelix,,
64,Bellsprout,,
65,Weepinbell,,
66,Victreebel,,
67,Hoppip,,
68,Skiploom,,
69,Jumpluff,,
70,Paras,,
71,Parasect,,
72,Poliwag,,
73,Poliwhirl,,
74,Poliwrath,,
75,Politoed,,
76,Magikarp,,
77,Gyarados,,
78,Goldeen,,
79,Seaking,,
80,Slowpoke,,
81,Slowbro,,
82,Slowking,,
83,Oddish,,
84,Gloom,,
85,Vileplume,,
86,Bellossom,,
87,Drowzee,,
88,Hypno,,
89,Abra,,
90,Kadabra,,
91,Alakazam,,
92,Ditto,,
93,Pineco,,
94,Forretress,,
95,Nidoran♀,,
96,Nidorina,,
97,Nidoqueen,,
98,Nidoran♂,,
99,Nidorino,,
100,Nidoking,,
101,Yanma,,
102,Sunkern,,
103,Sunflora,,
104,Exeggcute,,
105,Exeggutor,,
106,Sudowoodo,,
107,Wobbuffet,,
108,Venonat,,
109,Venomoth,,
110,Scyther,,
111,Scizor,,
112,Pinsir,,
113,Heracross,,
114,Koffing,,
115,Weezing,,
116,Grimer,,
117,Muk,,
118,Magnemite,,
119,Magneton,,
120,Voltorb,,
121,Electrode,,
122,Aipom,,
123,Snubbull,,
124,Granbull,,
125,Vulpix,,
126,Ninetales,,
127,Growlithe,,
128,Arcanine,,
129,Stantler,,
130,Marill,,
131,Azumarill,,
132,Diglett,,
133,Dugtrio,,
134,Mankey,,
135,Primeape,,
136,Meowth,,
137,Persian,,
138,Psyduck,,
139,Golduck,,
140,Machop,,
141,Machoke,,
142,Machamp,,
143,Tyrogue,,
144,Hitmonlee,,
145,Hitmonchan,,
146,Hitmontop,,
147,Girafarig,,
148,Tauros,,
149,Miltank,,
150,Magby,,
151,Magmar,,
152,Smoochum,,
153,Jynx,,
154,Elekid,,
155,Electabuzz,,
156,Mr. Mime,,
157,Smeargle,,
158,Farfetch’d,,
159,Natu,,
160,Xatu,,
161,Qwilfish,,
162,Tentacool,,
163,Tentacruel,,
164,Krabby,,
165,Kingler,,
166,Shuckle,,
167,Staryu,,
168,Starmie,,
169,Shellder,,
170,Cloyster,,
171,Corsola,,
172,Remoraid,,
173,Octillery,,
174,Chinchou,,
175,Lanturn,,
176,Seel,,
177,Dewgong,,
178,Lickitung,,
179,Tangela,,
180,Eevee,,
181,Vaporeon,,
182,Jolteon,,
183,Flareon,,
184,Espeon,,
185,Umbreon,,
186,Horsea,,
187,Seadra,,
188,Kingdra,,
189,Gligar,,
190,Delibird,,
191,Swinub,,
192,Piloswine,,
193,Teddiursa,,
194,Ursaring,,
195,Phanpy,,
196,Donphan,,
197,Mantine,,
198,Skarmory,,
199,Doduo,,
200,Dodrio,,
201,Ponyta,,
202,Rapidash,,
203,Cubone,,
204,Marowak,,
205,Kangaskhan,,
206,Rhyhorn,,
207,Rhydon,,
208,Murkrow,,
209,Houndour,,
210,Houndoom,,
211,Slugma,,
212,Magcargo,,
213,Sneasel,,
214,Misdreavus,,
215,Porygon,,
216,Porygon2,,
217,Chansey,,
218,Blissey,,
219,Lapras,,
220,Omanyte,,
221,Omastar,,
222,Kabuto,,
223,Kabutops,,
224,Aerodactyl,,
225,Snorlax,,
226,Bulbasaur,,
227,Ivysaur,,
228,Venusaur,,
229,Charmander,,
230,Charmeleon,,
231,Charizard,,
232,Squirtle,,
233,Wartortle,,
234,Blastoise,,
235,Articuno,,
236,Zapdos,,
237,Moltres,,
238,Raikou,,
239,Entei,,
240,Suicune,,
241,Dratini,,
242,Dragonair,,
243,Dragonite,,
244,Larvitar,,
245,Pupitar,,
246,Tyranitar,,
247,Lugia,,
248,Ho-Oh,,
249,Mewtwo,,
250,Mew,,
251,Celebi,,
