dexNumber,pokemon,form,notes
1,Mankey,,
2,Primeape,,
3,Annihilape,,
4,Meowth,,
5,Persian,,
6,Perrserker,,
7,Farfetch’d,,
8,Sirfetch’d,,
9,Cubone,,
10,Marowak,,
11,Porygon,,
12,Porygon2,,
13,Porygon-Z,,
14,Capsakid,,
15,Scovillain,,
16,Tinkatink,,
17,Tinkatuff,,
18,Tinkaton,,
19,Cyclizar,,
20,Glimmet,,
21,Glimmora,,
22,Rotom,,
23,Greavard,,
24,Houndstone,,
25,Sandygast,,
26,Palossand,,
27,Kecleon,,
28,Flamigo,,
29,Cryogonal,,
30,Dondozo,,
31,Tatsugiri,,
32,Frigibax,,
33,Arctibax,,
34,Baxcalibur,,
35,Gimmighoul,,
36,Gholdengo,,
37,Qwilfish,,
38,Overqwil,,
39,Treecko,,
40,Grovyle,,
41,Sceptile,,
42,Torchic,,
43,Combusken,,
44,Blaziken,,
45,Mudkip,,
46,Marshtomp,,
47,Swampert,,
48,Feebas,,
49,Milotic,,
50,Chingling,,
51,Chimecho,,
52,Indeedee,,
53,Purrloin,,
54,Liepard,,
55,Munna,,
56,Musharna,,
57,Throh,,
58,Sawk,,
59,Yamask,,
60,Cofagrigus,,
61,Runerigus,,
62,Wimpod,,
63,Golisopod,,
64,Nickit,,
65,Thievul,,
66,Clobbopus,,
67,Grapploct,,
68,Mimikyu,,
69,Kleavor,,
70,Morpeko,,
71,Golett,,
72,Golurk,,
73,Rookidee,,
74,Corvisquire,,
75,Corviknight,,
76,Igglybuff,,
77,Jigglypuff,,
78,Wigglytuff,,
79,Fidough,,
80,Dachsbun,,
81,Starly,,
82,Staravia,,
83,Staraptor,,
84,Spoink,,
85,Grumpig,,
86,Squawkabilly,,
87,Crabrawler,,
88,Crabominable,,
89,Nacli,,
90,Naclstack,,
91,Garganacl,,
92,Gulpin,,
93,Swalot,,
94,Zubat,,
95,Golbat,,
96,Crobat,,
97,Charcadet,,
98,Armarouge,,
99,Ceruledge,,
100,Maschiff,,
101,Mabosstiff,,
102,Toxel,,
103,Toxtricity,,
104,Shroodle,,
105,Grafaiai,,
106,Zangoose,,
107,Seviper,,
108,Mime Jr.,,
109,Mr. Mime,,
110,Mr. Rime,,
111,Foongus,,
112,Amoonguss,,
113,Heatran,,
114,Volcanion,,
115,Cobalion,,
116,Terrakion,,
117,Virizion,,
118,Keldeo,,
119,Meloetta,,
120,Genesect,,
121,Hoopa,,
122,Marshadow,,
123,Meltan,,
124,Melmetal,,
125,Darkrai,,
126,Latias,,
127,Latios,,
128,Kyogre,,
129,Groudon,,
130,Rayquaza,,
131,Magearna,,
132,Zeraora,,
