dexNumber,pokemon,form,notes
1,Turtwig,,
2,Grotle,,
3,Torterra,,
4,Chimchar,,
5,Monferno,,
6,Infernape,,
7,Piplup,,
8,Prinplup,,
9,Empoleon,,
10,Starly,,
11,Staravia,,
12,Staraptor,,
13,Bidoof,,
14,Bibarel,,
15,Kricketot,,
16,Kricketune,,
17,Shinx,,
18,Luxio,,
19,Luxray,,
20,Abra,,
21,Kadabra,,
22,Alakazam,,
23,Magikarp,,
24,Gyarados,,
25,Budew,,
26,Roselia,,
27,Roserade,,
28,Zubat,,
29,Golbat,,
30,Crobat,,
31,Geodude,,
32,Graveler,,
33,Golem,,
34,Onix,,
35,Steelix,,
36,Cranidos,,
37,Rampardos,,
38,Shieldon,,
39,Bastiodon,,
40,Machop,,
41,Machoke,,
42,Machamp,,
43,Psyduck,,
44,Golduck,,
45,Burmy,,
46,Wormadam,,
47,Mothim,,
48,Wurmple,,
49,Silcoon,,
50,Beautifly,,
51,Cascoon,,
52,Dustox,,
53,Combee,,
54,Vespiquen,,
55,Pachirisu,,
56,Buizel,,
57,Floatzel,,
58,Cherubi,,
59,Cherrim,,
60,Shellos,,
61,Gastrodon,,
62,Heracross,,
63,Aipom,,
64,Ambipom,,
65,Drifloon,,
66,Drifblim,,
67,Buneary,,
68,Lopunny,,
69,Gastly,,
70,Haunter,,
71,Gengar,,
72,Misdreavus,,
73,Mismagius,,
74,Murkrow,,
75,Honchkrow,,
76,Glameow,,
77,Purugly,,
78,Goldeen,,
79,Seaking,,
80,Barboach,,
81,Whiscash,,
82,Chingling,,
83,Chimecho,,
84,Stunky,,
85,Skuntank,,
86,Meditite,,
87,Medicham,,
88,Bronzor,,
89,Bronzong,,
90,Ponyta,,
91,Rapidash,,
92,Bonsly,,
93,Sudowoodo,,
94,Mime Jr.,,
95,Mr. Mime,,
96,Happiny,,
97,Chansey,,
98,Blissey,,
99,Cleffa,,
100,Clefairy,,
101,Clefable,,
102,Chatot,,
103,Pichu,,
104,Pikachu,,
105,Raichu,,
106,Hoothoot,,
107,Noctowl,,
108,Spiritomb,,
109,Gible,,
110,Gabite,,
111,Garchomp,,
112,Munchlax,,
113,Snorlax,,
114,Unown,,
115,Riolu,,
116,Lucario,,
117,Wooper,,
118,Quagsire,,
119,Wingull,,
120,Pelipper,,
121,Girafarig,,
122,Hippopotas,,
123,Hippowdon,,
124,Azurill,,
125,Marill,,
126,Azumarill,,
127,Skorupi,,
128,Drapion,,
129,Croagunk,,
130,Toxicroak,,
131,Carnivine,,
132,Remoraid,,
133,Octillery,,
134,Finneon,,
135,Lumineon,,
136,Tentacool,,
137,Tentacruel,,
138,Feebas,,
139,Milotic,,
140,Mantyke,,
141,Mantine,,
142,Snover,,
143,Abomasnow,,
144,Sneasel,,
145,Weavile,,
146,Uxie,,
147,Mesprit,,
148,Azelf,,
149,Dialga,,
150,Palkia,,
151,Manaphy,,
152,Rotom,,
153,Gligar,,
154,Gliscor,,
155,Nosepass,,
156,Probopass,,
157,Ralts,,
158,Kirlia,,
159,Gardevoir,,
160,Gallade,,
161,Lickitung,,
162,Lickilicky,,
163,Eevee,,
164,Vaporeon,,
165,Jolteon,,
166,Flareon,,
167,Espeon,,
168,Umbreon,,
169,Leafeon,,
170,Glaceon,,
171,Swablu,,
172,Altaria,,
173,Togepi,,
174,Togetic,,
175,Togekiss,,
176,Houndour,,
177,Houndoom,,
178,Magnemite,,
179,Magneton,,
180,Magnezone,,
181,Tangela,,
182,Tangrowth,,
183,Yanma,,
184,Yanmega,,
185,Tropius,,
186,Rhyhorn,,
187,Rhydon,,
188,Rhyperior,,
189,Duskull,,
190,Dusclops,,
191,Dusknoir,,
192,Porygon,,
193,Porygon2,,
194,Porygon-Z,,
195,Scyther,,
196,Scizor,,
197,Elekid,,
198,Electabuzz,,
199,Electivire,,
200,Magby,,
201,Magmar,,
202,Magmortar,,
203,Swinub,,
204,Piloswine,,
205,Mamoswine,,
206,Snorunt,,
207,Glalie,,
208,Froslass,,
209,Absol,,
210,Giratina,,
