dexNumber,pokemon,form,notes
1,Doduo,,
2,Dodrio,,
3,Exeggcute,,
4,Exeggutor,,
5,Rhyhorn,,
6,Rhydon,,
7,Rhyperior,,
8,Venonat,,
9,Venomoth,,
10,Elekid,,
11,Electabuzz,,
12,Electivire,,
13,Magby,,
14,Magmar,,
15,Magmortar,,
16,Happiny,,
17,Chansey,,
18,Blissey,,
19,Scyther,,
20,Scizor,,
21,Kleavor,,
22,Tauros,,
23,Blitzle,,
24,Zebstrika,,
25,Girafarig,,
26,Farigiraf,,
27,Sandile,,
28,Krokorok,,
29,Krookodile,,
30,Rellor,,
31,Rabsca,,
32,Rufflet,,
33,Braviary,,
34,Vullaby,,
35,Mandibuzz,,
36,Litleo,,
37,Pyroar,,
38,Deerling,,
39,Sawsbuck,,
40,Smeargle,,
41,Rotom,,
42,Milcery,,
43,Alcremie,,
44,Trapinch,,
45,Vibrava,,
46,Flygon,,
47,Pikipek,,
48,Trumbeak,,
49,Toucannon,,
50,Tentacool,,
51,Tentacruel,,
52,Horsea,,
53,Seadra,,
54,Kingdra,,
55,Bruxish,,
56,Cottonee,,
57,Whimsicott,,
58,Comfey,,
59,Slakoth,,
60,Vigoroth,,
61,Slaking,,
62,Oddish,,
63,Gloom,,
64,Vileplume,,
65,Bellossom,,
66,Diglett,,
67,Dugtrio,,
68,Grimer,,
69,Muk,,
70,Zangoose,,
71,Seviper,,
72,Crabrawler,,
73,Crabominable,,
74,Oricorio,,
75,Slowpoke,,
76,Slowbro,,
77,Slowking,,
78,Chinchou,,
79,Lanturn,,
80,Inkay,,
81,Malamar,,
82,Luvdisc,,
83,Finneon,,
84,Lumineon,,
85,Alomomola,,
86,Torkoal,,
87,Fletchling,,
88,Fletchinder,,
89,Talonflame,,
90,Dewpider,,
91,Araquanid,,
92,Tyrogue,,
93,Hitmonlee,,
94,Hitmonchan,,
95,Hitmontop,,
96,Geodude,,
97,Graveler,,
98,Golem,,
99,Drilbur,,
100,Excadrill,,
101,Gothita,,
102,Gothorita,,
103,Gothitelle,,
104,Espurr,,
105,Meowstic,,
106,Minior,,
107,Cranidos,,
108,Rampardos,,
109,Shieldon,,
110,Bastiodon,,
111,Minccino,,
112,Cinccino,,
113,Skarmory,,
114,Swablu,,
115,Altaria,,
116,Magnemite,,
117,Magneton,,
118,Magnezone,,
119,Plusle,,
120,Minun,,
121,Scraggy,,
122,Scrafty,,
123,Golett,,
124,Golurk,,
125,Numel,,
126,Camerupt,,
127,Sinistea,,
128,Polteageist,,
129,Porygon,,
130,Porygon2,,
131,Porygon-Z,,
132,Joltik,,
133,Galvantula,,
134,Tynamo,,
135,Eelektrik,,
136,Eelektross,,
137,Beldum,,
138,Metang,,
139,Metagross,,
140,Axew,,
141,Fraxure,,
142,Haxorus,,
143,Seel,,
144,Dewgong,,
145,Lapras,,
146,Qwilfish,,
147,Overqwil,,
148,Solosis,,
149,Duosion,,
150,Reuniclus,,
151,Snubbull,,
152,Granbull,,
153,Cubchoo,,
154,Beartic,,
155,Sandshrew,,
156,Sandslash,,
157,Vulpix,,
158,Ninetales,,
159,Snover,,
160,Abomasnow,,
161,Duraludon,,
162,Archaludon,,
163,Hydrapple,,
164,Bulbasaur,,
165,Ivysaur,,
166,Venusaur,,
167,Charmander,,
168,Charmeleon,,
169,Charizard,,
170,Squirtle,,
171,Wartortle,,
172,Blastoise,,
173,Chikorita,,
174,Bayleef,,
175,Meganium,,
176,Cyndaquil,,
177,Quilava,,
178,Typhlosion,,
179,Totodile,,
180,Croconaw,,
181,Feraligatr,,
182,Treecko,,
183,Grovyle,,
184,Sceptile,,
185,Torchic,,
186,Combusken,,
187,Blaziken,,
188,Mudkip,,
189,Marshtomp,,
190,Swampert,,
191,Turtwig,,
192,Grotle,,
193,Torterra,,
194,Chimchar,,
195,Monferno,,
196,Infernape,,
197,Piplup,,
198,Prinplup,,
199,Empoleon,,
200,Snivy,,
201,Servine,,
202,Serperior,,
203,Tepig,,
204,Pignite,,
205,Emboar,,
206,Oshawott,,
207,Dewott,,
208,Samurott,,
209,Chespin,,
210,Quilladin,,
211,Chesnaught,,
212,Fennekin,,
213,Braixen,,
214,Delphox,,
215,Froakie,,
216,Frogadier,,
217,Greninja,,
218,Rowlet,,
219,Dartrix,,
220,Decidueye,,
221,Litten,,
222,Torracat,,
223,Incineroar,,
224,Popplio,,
225,Brionne,,
226,Primarina,,
227,Grookey,,
228,Thwackey,,
229,Rillaboom,,
230,Scorbunny,,
231,Raboot,,
232,Cinderace,,
233,Sobble,,
234,Drizzile,,
235,Inteleon,,
236,Gouging Fire,,
237,Raging Bolt,,
238,Iron Crown,,
239,Iron Boulder,,
240,Terapagos,,
241,Walking Wake,,
242,Iron Leaves,,
243,Pecharunt,,
