dexNumber,pokemon,form,notes
1,Spinarak,,
2,Ariados,,
3,Yanma,,
4,Yanmega,,
5,Wooper,,
6,Quagsire,,
7,Poochyena,,
8,Mightyena,,
9,Volbeat,,
10,Illumise,,
11,Corphish,,
12,Crawdaunt,,
13,Sewaddle,,
14,Swadloon,,
15,Leavanny,,
16,Cutiefly,,
17,Ribombee,,
18,Ekans,,
19,Arbok,,
20,Pichu,,
21,Pikachu,,
22,Raichu,,
23,Bellsprout,,
24,Weepinbell,,
25,Victreebel,,
26,Sentret,,
27,Furret,,
28,Starly,,
29,Staravia,,
30,Staraptor,,
31,Fomantis,,
32,Lurantis,,
33,Applin,,
34,Flapple,,
35,Appletun,,
36,Dipplin,,
37,Vulpix,,
38,Ninetales,,
39,Poliwag,,
40,Poliwhirl,,
41,Poliwrath,,
42,Politoed,,
43,Magikarp,,
44,Gyarados,,
45,Hoothoot,,
46,Noctowl,,
47,Aipom,,
48,Ambipom,,
49,Heracross,,
50,Swinub,,
51,Piloswine,,
52,Mamoswine,,
53,Stantler,,
54,Seedot,,
55,Nuzleaf,,
56,Shiftry,,
57,Ralts,,
58,Kirlia,,
59,Gardevoir,,
60,Gallade,,
61,Kricketot,,
62,Kricketune,,
63,Pachirisu,,
64,Riolu,,
65,Lucario,,
66,Petilil,,
67,Lilligant,,
68,Phantump,,
69,Trevenant,,
70,Rockruff,,
71,Lycanroc,,
72,Skwovet,,
73,Greedent,,
74,Toedscool,,
75,Toedscruel,,
76,Poltchageist,,
77,Sinistcha,,
78,Growlithe,,
79,Arcanine,,
80,Geodude,,
81,Graveler,,
82,Golem,,
83,Bonsly,,
84,Sudowoodo,,
85,Timburr,,
86,Gurdurr,,
87,Conkeldurr,,
88,Noibat,,
89,Noivern,,
90,Arrokuda,,
91,Barraskewda,,
92,Hatenna,,
93,Hattrem,,
94,Hatterene,,
95,Morpeko,,
96,Orthworm,,
97,Tandemaus,,
98,Maushold,,
99,Mankey,,
100,Primeape,,
101,Annihilape,,
102,Munchlax,,
103,Snorlax,,
104,Lotad,,
105,Lombre,,
106,Ludicolo,,
107,Nosepass,,
108,Probopass,,
109,Shinx,,
110,Luxio,,
111,Luxray,,
112,Grubbin,,
113,Charjabug,,
114,Vikavolt,,
115,Oricorio,,
116,Sandshrew,,
117,Sandslash,,
118,Gastly,,
119,Haunter,,
120,Gengar,,
121,Gligar,,
122,Gliscor,,
123,Houndour,,
124,Houndoom,,
125,Spoink,,
126,Grumpig,,
127,Vullaby,,
128,Mandibuzz,,
129,Mudbray,,
130,Mudsdale,,
131,Jangmo-o,,
132,Hakamo-o,,
133,Kommo-o,,
134,Bombirdier,,
135,Koffing,,
136,Weezing,,
137,Mienfoo,,
138,Mienshao,,
139,Duskull,,
140,Dusclops,,
141,Dusknoir,,
142,Chingling,,
143,Chimecho,,
144,Slugma,,
145,Magcargo,,
146,Litwick,,
147,Lampent,,
148,Chandelure,,
149,Surskit,,
150,Masquerain,,
151,Cleffa,,
152,Clefairy,,
153,Clefable,,
154,Bronzor,,
155,Bronzong,,
156,Glimmet,,
157,Glimmora,,
158,Feebas,,
159,Milotic,,
160,Dunsparce,,
161,Dudunsparce,,
162,Barboach,,
163,Whiscash,,
164,Gible,,
165,Gabite,,
166,Garchomp,,
167,Carbink,,
168,Salandit,,
169,Salazzle,,
170,Sneasel,,
171,Weavile,,
172,Snorunt,,
173,Glalie,,
174,Froslass,,
175,Tynamo,,
176,Eelektrik,,
177,Eelektross,,
178,Goomy,,
179,Sliggoo,,
180,Goodra,,
181,Ducklett,,
182,Swanna,,
183,Chewtle,,
184,Drednaw,,
185,Cramorant,,
186,Pawniard,,
187,Bisharp,,
188,Kingambit,,
189,Mimikyu,,
190,Impidimp,,
191,Morgrem,,
192,Grimmsnarl,,
193,Indeedee,,
194,Basculin,,
195,Basculegion,,
196,Ursaluna,,
197,Okidogi,,
198,Munkidori,,
199,Fezandipiti,,
200,Ogerpon,,
