dexNumber,pokemon,form,notes
1,Pikipek,,
2,Trumbeak,,
3,Toucannon,,
4,Yungoos,,
5,Gumshoos,,
6,Rattata,,
7,Raticate,,
8,Caterpie,,
9,Metapod,,
10,Butterfree,,
11,Grubbin,,
12,Charjabug,,
13,Vikavolt,,
14,Bonsly,,
15,Sudowoodo,,
16,Happiny,,
17,Chansey,,
18,Blissey,,
19,Wingull,,
20,Pelipper,,
21,Crabrawler,,
22,Crabominable,,
23,Gastly,,
24,Haunter,,
25,Gengar,,
26,Zubat,,
27,Golbat,,
28,Crobat,,
29,Diglett,,
30,Dugtrio,,
31,Oricorio,,
32,Psyduck,,
33,Golduck,,
34,Magikarp,,
35,Gyarados,,
36,Barboach,,
37,Whiscash,,
38,Tentacool,,
39,Tentacruel,,
40,Finneon,,
41,Lumineon,,
42,Wishiwashi,,
43,Luvdisc,,
44,Corsola,,
45,Mareanie,,
46,Toxapex,,
47,Lillipup,,
48,Herdier,,
49,Stoutland,,
50,Eevee,,
51,Vaporeon,,
52,Jolteon,,
53,Flareon,,
54,Espeon,,
55,Umbreon,,
56,Leafeon,,
57,Glaceon,,
58,Sylveon,,
59,Mudbray,,
60,Mudsdale,,
61,Igglybuff,,
62,Jigglypuff,,
63,Wigglytuff,,
64,Tauros,,
65,Miltank,,
66,Surskit,,
67,Masquerain,,
68,Dewpider,,
69,Araquanid,,
70,Fomantis,,
71,Lurantis,,
72,Morelull,,
73,Shiinotic,,
74,Paras,,
75,Parasect,,
76,Poliwag,,
77,Poliwhirl,,
78,Poliwrath,,
79,Politoed,,
80,Goldeen,,
81,Seaking,,
82,Feebas,,
83,Milotic,,
84,Alomomola,,
85,Fletchling,,
86,Fletchinder,,
87,Talonflame,,
88,Salandit,,
89,Salazzle,,
90,Cubone,,
91,Marowak,,
92,Kangaskhan,,
93,Magby,,
94,Magmar,,
95,Magmortar,,
96,Stufful,,
97,Bewear,,
98,Bounsweet,,
99,Steenee,,
100,Tsareena,,
101,Comfey,,
102,Pinsir,,
103,Oranguru,,
104,Passimian,,
105,Goomy,,
106,Sliggoo,,
107,Goodra,,
108,Castform,,
109,Wimpod,,
110,Golisopod,,
111,Staryu,,
112,Starmie,,
113,Sandygast,,
114,Palossand,,
115,Cranidos,,
116,Rampardos,,
117,Shieldon,,
118,Bastiodon,,
119,Archen,,
120,Archeops,,
121,Tirtouga,,
122,Carracosta,,
123,Phantump,,
124,Trevenant,,
125,Nosepass,,
126,Probopass,,
127,Pyukumuku,,
128,Chinchou,,
129,Lanturn,,
130,Tapu Lele,,
