dexNumber,pokemon,form,notes
1,Rowlet,,
2,Dartrix,,
3,Decidueye,,
4,Litten,,
5,Torracat,,
6,Incineroar,,
7,Popplio,,
8,Brionne,,
9,Primarina,,
10,Pikipek,,
11,Trumbeak,,
12,Toucannon,,
13,Yungoos,,
14,Gumshoos,,
15,Rattata,,
16,Raticate,,
17,Caterpie,,
18,Metapod,,
19,Butterfree,,
20,Ledyba,,
21,Ledian,,
22,Spinarak,,
23,Ariados,,
24,Pichu,,
25,Pikachu,,
26,Raichu,,
27,Grubbin,,
28,Charjabug,,
29,Vikavolt,,
30,Bonsly,,
31,Sudowoodo,,
32,Happiny,,
33,Chansey,,
34,Blissey,,
35,Munchlax,,
36,Snorlax,,
37,Slowpoke,,
38,Slowbro,,
39,Slowking,,
40,Wingull,,
41,Pelipper,,
42,Abra,,
43,Kadabra,,
44,Alakazam,,
45,Meowth,,
46,Persian,,
47,Magnemite,,
48,Magneton,,
49,Magnezone,,
50,Grimer,,
51,Muk,,
52,Growlithe,,
53,Arcanine,,
54,Drowzee,,
55,Hypno,,
56,Makuhita,,
57,Hariyama,,
58,Smeargle,,
59,Crabrawler,,
60,Crabominable,,
61,Gastly,,
62,Haunter,,
63,Gengar,,
64,Drifloon,,
65,Drifblim,,
66,Misdreavus,,
67,Mismagius,,
68,Zubat,,
69,Golbat,,
70,Crobat,,
71,Diglett,,
72,Dugtrio,,
73,Spearow,,
74,Fearow,,
75,Rufflet,,
76,Braviary,,
77,Vullaby,,
78,Mandibuzz,,
79,Mankey,,
80,Primeape,,
81,Delibird,,
82,Oricorio,,
83,Cutiefly,,
84,Ribombee,,
85,Petilil,,
86,Lilligant,,
87,Cottonee,,
88,Whimsicott,,
89,Psyduck,,
90,Golduck,,
91,Magikarp,,
92,Gyarados,,
93,Barboach,,
94,Whiscash,,
95,Machop,,
96,Machoke,,
97,Machamp,,
98,Roggenrola,,
99,Boldore,,
100,Gigalith,,
101,Carbink,,
102,Sableye,,
103,Rockruff,,
104,Lycanroc,,
105,Spinda,,
106,Tentacool,,
107,Tentacruel,,
108,Finneon,,
109,Lumineon,,
110,Wishiwashi,,
111,Luvdisc,,
112,Corsola,,
113,Mareanie,,
114,Toxapex,,
115,Shellder,,
116,Cloyster,,
117,Bagon,,
118,Shelgon,,
119,Salamence,,
120,Lillipup,,
121,Herdier,,
122,Stoutland,,
123,Eevee,,
124,Vaporeon,,
125,Jolteon,,
126,Flareon,,
127,Espeon,,
128,Umbreon,,
129,Leafeon,,
130,Glaceon,,
131,Sylveon,,
132,Mudbray,,
133,Mudsdale,,
134,Igglybuff,,
135,Jigglypuff,,
136,Wigglytuff,,
137,Tauros,,
138,Miltank,,
139,Surskit,,
140,Masquerain,,
141,Dewpider,,
142,Araquanid,,
143,Fomantis,,
144,Lurantis,,
145,Morelull,,
146,Shiinotic,,
147,Paras,,
148,Parasect,,
149,Poliwag,,
150,Poliwhirl,,
151,Poliwrath,,
152,Politoed,,
153,Goldeen,,
154,Seaking,,
155,Feebas,,
156,Milotic,,
157,Alomomola,,
158,Fletchling,,
159,Fletchinder,,
160,Talonflame,,
161,Salandit,,
162,Salazzle,,
163,Cubone,,
164,Marowak,,
165,Kangaskhan,,
166,Magby,,
167,Magmar,,
168,Magmortar,,
169,Stufful,,
170,Bewear,,
171,Bounsweet,,
172,Steenee,,
173,Tsareena,,
174,Comfey,,
175,Pinsir,,
176,Oranguru,,
177,Passimian,,
178,Goomy,,
179,Sliggoo,,
180,Goodra,,
181,Castform,,
182,Wimpod,,
183,Golisopod,,
184,Staryu,,
185,Starmie,,
186,Sandygast,,
187,Palossand,,
188,Cranidos,,
189,Rampardos,,
190,Shieldon,,
191,Bastiodon,,
192,Archen,,
193,Archeops,,
194,Tirtouga,,
195,Carracosta,,
196,Phantump,,
197,Trevenant,,
198,Nosepass,,
199,Probopass,,
200,Pyukumuku,,
201,Chinchou,,
202,Lanturn,,
203,Type: Null,,
204,Silvally,,
205,Zygarde,,
206,Trubbish,,
207,Garbodor,,
208,Skarmory,,
209,Ditto,,
210,Cleffa,,
211,Clefairy,,
212,Clefable,,
213,Minior,,
214,Beldum,,
