dexNumber,pokemon,form,notes
1,Rowlet,,
2,Dartrix,,
3,Decidueye,,
4,Litten,,
5,Torracat,,
6,Incineroar,,
7,Popplio,,
8,Brionne,,
9,Primarina,,
10,Pikipek,,
11,Trumbeak,,
12,Toucannon,,
13,Yungoos,,
14,Gumshoos,,
15,Rattata,,
16,Raticate,,
17,Caterpie,,
18,Metapod,,
19,Butterfree,,
20,Ledyba,,
21,Ledian,,
22,Spinarak,,
23,Ariados,,
24,Pichu,,
25,Pikachu,,
26,Raichu,,
27,Grubbin,,
28,Charjabug,,
29,Vikavolt,,
30,Bonsly,,
31,Sudowoodo,,
32,Happiny,,
33,Chansey,,
34,Blissey,,
35,Munchlax,,
36,Snorlax,,
37,Slowpoke,,
38,Slowbro,,
39,Slowking,,
40,Wingull,,
41,Pelipper,,
42,Abra,,
43,Kadabra,,
44,Alakazam,,
45,Meowth,,
46,Persian,,
47,Magnemite,,
48,Magneton,,
49,Magnezone,,
50,Grimer,,
51,Muk,,
52,Growlithe,,
53,Arcanine,,
54,Drowzee,,
55,Hypno,,
56,Makuhita,,
57,Hariyama,,
58,Smeargle,,
59,Crabrawler,,
60,Crabominable,,
61,Gastly,,
62,Haunter,,
63,Gengar,,
64,Drifloon,,
65,Drifblim,,
66,Misdreavus,,
67,Mismagius,,
68,Zubat,,
69,Golbat,,
70,Crobat,,
71,Diglett,,
72,Dugtrio,,
73,Spearow,,
74,Fearow,,
75,Rufflet,,
76,Braviary,,
77,Vullaby,,
78,Mandibuzz,,
79,Mankey,,
80,Primeape,,
81,Delibird,,
82,Oricorio,,
83,Cutiefly,,
84,Ribombee,,
85,Petilil,,
86,Lilligant,,
87,Cottonee,,
88,Whimsicott,,
89,Psyduck,,
90,Golduck,,
91,Magikarp,,
92,Gyarados,,
93,Barboach,,
94,Whiscash,,
95,Machop,,
96,Machoke,,
97,Machamp,,
98,Roggenrola,,
99,Boldore,,
100,Gigalith,,
101,Carbink,,
102,Sableye,,
103,Rockruff,,
104,Lycanroc,,
105,Spinda,,
106,Tentacool,,
107,Tentacruel,,
108,Finneon,,
109,Lumineon,,
110,Wishiwashi,,
111,Luvdisc,,
112,Corsola,,
113,Mareanie,,
114,Toxapex,,
115,Shellder,,
116,Cloyster,,
117,Bagon,,
118,Shelgon,,
119,Salamence,,
120,Tapu Koko,,
