dexNumber,pokemon,form,notes
1,Pikipek,,
2,Trumbeak,,
3,Toucannon,,
4,Yungoos,,
5,Gumshoos,,
6,Rattata,,
7,Raticate,,
8,Happiny,,
9,Chansey,,
10,Blissey,,
11,Wingull,,
12,Pelipper,,
13,Drowzee,,
14,Hypno,,
15,Makuhita,,
16,Hariyama,,
17,Crabrawler,,
18,Crabominable,,
19,Zubat,,
20,Golbat,,
21,Crobat,,
22,Diglett,,
23,Dugtrio,,
24,Spearow,,
25,Fearow,,
26,Rufflet,,
27,Braviary,,
28,Vullaby,,
29,Mandibuzz,,
30,Mankey,,
31,Primeape,,
32,Oricorio,,
33,Cutiefly,,
34,Ribombee,,
35,Petilil,,
36,Lilligant,,
37,Cottonee,,
38,Whimsicott,,
39,Psyduck,,
40,Golduck,,
41,Magikarp,,
42,Gyarados,,
43,Barboach,,
44,Whiscash,,
45,Machop,,
46,Machoke,,
47,Machamp,,
48,Roggenrola,,
49,Boldore,,
50,Gigalith,,
51,Carbink,,
52,Sableye,,
53,Rockruff,,
54,Lycanroc,,
55,Tentacool,,
56,Tentacruel,,
57,Finneon,,
58,Lumineon,,
59,Mudbray,,
60,Mudsdale,,
61,Tauros,,
62,Miltank,,
63,Stufful,,
64,Bewear,,
65,Pinsir,,
66,Goomy,,
67,Sliggoo,,
68,Goodra,,
69,Castform,,
70,Wimpod,,
71,Golisopod,,
72,Skarmory,,
73,Snubbull,,
74,Granbull,,
75,Shellos,,
76,Gastrodon,,
77,Relicanth,,
78,Dhelmise,,
79,Carvanha,,
80,Sharpedo,,
81,Wailmer,,
82,Wailord,,
83,Lapras,,
84,Exeggcute,,
85,Exeggutor,,
86,Jangmo-o,,
87,Hakamo-o,,
88,Kommo-o,,
89,Emolga,,
90,Scyther,,
91,Scizor,,
92,Murkrow,,
93,Honchkrow,,
94,Riolu,,
95,Lucario,,
96,Dratini,,
97,Dragonair,,
98,Dragonite,,
99,Aerodactyl,,
100,Tapu Fini,,
