dexNumber,pokemon,form,notes
1,Pikipek,,
2,Trumbeak,,
3,Toucannon,,
4,Yungoos,,
5,Gumshoos,,
6,Rattata,,
7,Raticate,,
8,Ledyba,,
9,Ledian,,
10,Spinarak,,
11,Ariados,,
12,Grubbin,,
13,Charjabug,,
14,Vikavolt,,
15,Happiny,,
16,Chansey,,
17,Blissey,,
18,Slowpoke,,
19,Slowbro,,
20,Slowking,,
21,Wingull,,
22,Pelipper,,
23,Meowth,,
24,Persian,,
25,Magnemite,,
26,Magneton,,
27,Magnezone,,
28,Grimer,,
29,Muk,,
30,Crabrawler,,
31,Crabominable,,
32,Gastly,,
33,Haunter,,
34,Gengar,,
35,Zubat,,
36,Golbat,,
37,Crobat,,
38,Diglett,,
39,Dugtrio,,
40,Spearow,,
41,Fearow,,
42,Oricorio,,
43,Cutiefly,,
44,Ribombee,,
45,Petilil,,
46,Lilligant,,
47,Cottonee,,
48,Whimsicott,,
49,Psyduck,,
50,Golduck,,
51,Magikarp,,
52,Gyarados,,
53,Tentacool,,
54,Tentacruel,,
55,Finneon,,
56,Lumineon,,
57,Wishiwashi,,
58,Mudbray,,
59,Mudsdale,,
60,Surskit,,
61,Masquerain,,
62,Dewpider,,
63,Araquanid,,
64,Morelull,,
65,Shiinotic,,
66,Paras,,
67,Parasect,,
68,Poliwag,,
69,Poliwhirl,,
70,Poliwrath,,
71,Politoed,,
72,Goldeen,,
73,Seaking,,
74,Goomy,,
75,Sliggoo,,
76,Goodra,,
77,Castform,,
78,Trubbish,,
79,Garbodor,,
80,Skarmory,,
81,Ditto,,
82,Cleffa,,
83,Clefairy,,
84,Clefable,,
85,Minior,,
86,Beldum,,
87,Metang,,
88,Metagross,,
89,Porygon,,
90,Porygon2,,
91,Porygon-Z,,
92,Pancham,,
93,Pangoro,,
94,Komala,,
95,Torkoal,,
96,Turtonator,,
97,Togedemaru,,
98,Elekid,,
99,Electabuzz,,
100,Electivire,,
101,Geodude,,
102,Graveler,,
103,Golem,,
104,Sandile,,
105,Krokorok,,
106,Krookodile,,
107,Trapinch,,
108,Vibrava,,
109,Flygon,,
110,Gible,,
111,Gabite,,
112,Garchomp,,
113,Klefki,,
114,Mimikyu,,
115,Bruxish,,
116,Drampa,,
117,Absol,,
118,Snorunt,,
119,Glalie,,
120,Froslass,,
121,Sneasel,,
122,Weavile,,
123,Sandshrew,,
124,Sandslash,,
125,Vulpix,,
126,Ninetales,,
127,Vanillite,,
128,Vanillish,,
129,Vanilluxe,,
130,Tapu Bulu,,
