dexNumber,pokemon,form,notes
1,Slowpoke,,
2,Slowbro,,
3,Slowking,,
4,Buneary,,
5,Lopunny,,
6,Happiny,,
7,Chansey,,
8,Blissey,,
9,Skwovet,,
10,Greedent,,
11,Igglybuff,,
12,Jigglypuff,,
13,Wigglytuff,,
14,Blipbug,,
15,Dottler,,
16,Orbeetle,,
17,Fomantis,,
18,Lurantis,,
19,Applin,,
20,Flapple,,
21,Appletun,,
22,Fletchling,,
23,Fletchinder,,
24,Talonflame,,
25,Shinx,,
26,Luxio,,
27,Luxray,,
28,Klefki,,
29,Pawniard,,
30,Bisharp,,
31,Abra,,
32,Kadabra,,
33,Alakazam,,
34,Ralts,,
35,Kirlia,,
36,Gardevoir,,
37,Gallade,,
38,Krabby,,
39,Kingler,,
40,Tentacool,,
41,Tentacruel,,
42,Magikarp,,
43,Gyarados,,
44,Remoraid,,
45,Octillery,,
46,Mantyke,,
47,Mantine,,
48,Wingull,,
49,Pelipper,,
50,Skorupi,,
51,Drapion,,
52,Dunsparce,,
53,Bouffalant,,
54,Lickitung,,
55,Lickilicky,,
56,Chewtle,,
57,Drednaw,,
58,Wooper,,
59,Quagsire,,
60,Goomy,,
61,Sliggoo,,
62,Goodra,,
63,Druddigon,,
64,Shelmet,,
65,Accelgor,,
66,Karrablast,,
67,Escavalier,,
68,Bulbasaur,,
69,Ivysaur,,
70,Venusaur,,
71,Squirtle,,
72,Wartortle,,
73,Blastoise,,
74,Venipede,,
75,Whirlipede,,
76,Scolipede,,
77,Foongus,,
78,Amoonguss,,
79,Comfey,,
80,Tangela,,
81,Tangrowth,,
82,Croagunk,,
83,Toxicroak,,
84,Pichu,,
85,Pikachu,,
86,Raichu,,
87,Zorua,,
88,Zoroark,,
89,Oranguru,,
90,Passimian,,
91,Corphish,,
92,Crawdaunt,,
93,Cramorant,,
94,Goldeen,,
95,Seaking,,
96,Arrokuda,,
97,Barraskewda,,
98,Staryu,,
99,Starmie,,
100,Kubfu,,
101,Urshifu,,
102,Emolga,,
103,Dedenne,,
104,Morpeko,,
105,Magnemite,,
106,Magneton,,
107,Magnezone,,
108,Inkay,,
109,Malamar,,
110,Wishiwashi,,
111,Carvanha,,
112,Sharpedo,,
113,Lillipup,,
114,Herdier,,
115,Stoutland,,
116,Tauros,,
117,Miltank,,
118,Scyther,,
119,Scizor,,
120,Pinsir,,
121,Heracross,,
122,Dwebble,,
123,Crustle,,
124,Wimpod,,
125,Golisopod,,
126,Pincurchin,,
127,Mareanie,,
128,Toxapex,,
129,Clobbopus,,
130,Grapploct,,
131,Shellder,,
132,Cloyster,,
133,Sandygast,,
134,Palossand,,
135,Drifloon,,
136,Drifblim,,
137,Barboach,,
138,Whiscash,,
139,Azurill,,
140,Marill,,
141,Azumarill,,
142,Poliwag,,
143,Poliwhirl,,
144,Poliwrath,,
145,Politoed,,
146,Psyduck,,
147,Golduck,,
148,Whismur,,
149,Loudred,,
150,Exploud,,
151,Woobat,,
152,Swoobat,,
153,Skarmory,,
154,Roggenrola,,
155,Boldore,,
156,Gigalith,,
157,Rockruff,,
158,Lycanroc,,
159,Salandit,,
160,Salazzle,,
161,Scraggy,,
162,Scrafty,,
163,Mienfoo,,
164,Mienshao,,
165,Jangmo-o,,
166,Hakamo-o,,
167,Kommo-o,,
168,Sandshrew,,
169,Sandslash,,
170,Cubone,,
171,Marowak,,
172,Kangaskhan,,
173,Torkoal,,
174,Silicobra,,
175,Sandaconda,,
176,Sandile,,
177,Krokorok,,
178,Krookodile,,
179,Rufflet,,
180,Braviary,,
181,Vullaby,,
182,Mandibuzz,,
183,Rhyhorn,,
184,Rhydon,,
185,Rhyperior,,
186,Larvesta,,
187,Volcarona,,
188,Chinchou,,
189,Lanturn,,
190,Wailmer,,
191,Wailord,,
192,Frillish,,
193,Jellicent,,
194,Skrelp,,
195,Dragalge,,
196,Clauncher,,
197,Clawitzer,,
198,Horsea,,
199,Seadra,,
200,Kingdra,,
201,Petilil,,
202,Lilligant,,
203,Combee,,
204,Vespiquen,,
205,Exeggcute,,
206,Exeggutor,,
207,Ditto,,
208,Porygon,,
209,Porygon2,,
210,Porygon-Z,,
211,Zarude,,
