dexNumber,pokemon,form,notes
1,Pikipek,,
2,Trumbeak,,
3,Toucannon,,
4,Yungoos,,
5,Gumshoos,,
6,Rattata,,
7,Raticate,,
8,Caterpie,,
9,Metapod,,
10,Butterfree,,
11,Grubbin,,
12,Charjabug,,
13,Vikavolt,,
14,Bonsly,,
15,Sudowoodo,,
16,Happiny,,
17,Chansey,,
18,Blissey,,
19,Wingull,,
20,Pelipper,,
21,Crabrawler,,
22,Crabominable,,
23,Gastly,,
24,Haunter,,
25,Gengar,,
26,Zubat,,
27,Golbat,,
28,Crobat,,
29,Diglett,,
30,Dugtrio,,
31,Oricorio,,
32,Psyduck,,
33,Golduck,,
34,Magikarp,,
35,Gyarados,,
36,Barboach,,
37,Whiscash,,
38,Tentacool,,
39,Tentacruel,,
40,Finneon,,
41,Lumineon,,
42,Wishiwashi,,
43,Luvdisc,,
44,Corsola,,
45,Mareanie,,
46,Toxapex,,
47,Remoraid,,
48,Octillery,,
49,Mantyke,,
50,Mantine,,
51,Lillipup,,
52,Herdier,,
53,Stoutland,,
54,Eevee,,
55,Vaporeon,,
56,Jolteon,,
57,Flareon,,
58,Espeon,,
59,Umbreon,,
60,Leafeon,,
61,Glaceon,,
62,Sylveon,,
63,Mareep,,
64,Flaaffy,,
65,Ampharos,,
66,Mudbray,,
67,Mudsdale,,
68,Igglybuff,,
69,Jigglypuff,,
70,Wigglytuff,,
71,Tauros,,
72,Miltank,,
73,Surskit,,
74,Masquerain,,
75,Dewpider,,
76,Araquanid,,
77,Fomantis,,
78,Lurantis,,
79,Morelull,,
80,Shiinotic,,
81,Paras,,
82,Parasect,,
83,Poliwag,,
84,Poliwhirl,,
85,Poliwrath,,
86,Politoed,,
87,Goldeen,,
88,Seaking,,
89,Basculin,,
90,Feebas,,
91,Milotic,,
92,Alomomola,,
93,Fletchling,,
94,Fletchinder,,
95,Talonflame,,
96,Salandit,,
97,Salazzle,,
98,Cubone,,
99,Marowak,,
100,Kangaskhan,,
101,Magby,,
102,Magmar,,
103,Magmortar,,
104,Larvesta,,
105,Volcarona,,
106,Stufful,,
107,Bewear,,
108,Bounsweet,,
109,Steenee,,
110,Tsareena,,
111,Comfey,,
112,Pinsir,,
113,Hoothoot,,
114,Noctowl,,
115,Kecleon,,
116,Oranguru,,
117,Passimian,,
118,Goomy,,
119,Sliggoo,,
120,Goodra,,
121,Castform,,
122,Wimpod,,
123,Golisopod,,
124,Staryu,,
125,Starmie,,
126,Sandygast,,
127,Palossand,,
128,Omanyte,,
129,Omastar,,
130,Kabuto,,
131,Kabutops,,
132,Lileep,,
133,Cradily,,
134,Anorith,,
135,Armaldo,,
136,Cranidos,,
137,Rampardos,,
138,Shieldon,,
139,Bastiodon,,
140,Archen,,
141,Archeops,,
142,Tirtouga,,
143,Carracosta,,
144,Tyrunt,,
145,Tyrantrum,,
146,Amaura,,
147,Aurorus,,
148,Larvitar,,
149,Pupitar,,
150,Tyranitar,,
151,Phantump,,
152,Trevenant,,
153,Natu,,
154,Xatu,,
155,Nosepass,,
156,Probopass,,
157,Pyukumuku,,
158,Chinchou,,
159,Lanturn,,
160,Tapu Lele,,
