dexNumber,pokemon,form,notes
1,Rowlet,,
2,Dartrix,,
3,Decidueye,,
4,Litten,,
5,Torracat,,
6,Incineroar,,
7,Popplio,,
8,Brionne,,
9,Primarina,,
10,Pikipek,,
11,Trumbeak,,
12,Toucannon,,
13,Yungoos,,
14,Gumshoos,,
15,Rattata,,
16,Raticate,,
17,Caterpie,,
18,Metapod,,
19,Butterfree,,
20,Ledyba,,
21,Ledian,,
22,Spinarak,,
23,Ariados,,
24,Buneary,,
25,Lopunny,,
26,Inkay,,
27,Malamar,,
28,Zorua,,
29,Zoroark,,
30,Furfrou,,
31,Pichu,,
32,Pikachu,,
33,Raichu,,
34,Grubbin,,
35,Charjabug,,
36,Vikavolt,,
37,Bonsly,,
38,Sudowoodo,,
39,Happiny,,
40,Chansey,,
41,Blissey,,
42,Munchlax,,
43,Snorlax,,
44,Slowpoke,,
45,Slowbro,,
46,Slowking,,
47,Wingull,,
48,Pelipper,,
49,Abra,,
50,Kadabra,,
51,Alakazam,,
52,Meowth,,
53,Persian,,
54,Magnemite,,
55,Magneton,,
56,Magnezone,,
57,Grimer,,
58,Muk,,
59,Mime Jr.,,
60,Mr. Mime,,
61,Ekans,,
62,Arbok,,
63,Dunsparce,,
64,Growlithe,,
65,Arcanine,,
66,Drowzee,,
67,Hypno,,
68,Makuhita,,
69,Hariyama,,
70,Smeargle,,
71,Crabrawler,,
72,Crabominable,,
73,Gastly,,
74,Haunter,,
75,Gengar,,
76,Drifloon,,
77,Drifblim,,
78,Murkrow,,
79,Honchkrow,,
80,Zubat,,
81,Golbat,,
82,Crobat,,
83,Noibat,,
84,Noivern,,
85,Diglett,,
86,Dugtrio,,
87,Spearow,,
88,Fearow,,
89,Rufflet,,
90,Braviary,,
91,Vullaby,,
92,Mandibuzz,,
93,Mankey,,
94,Primeape,,
95,Delibird,,
96,Hawlucha,,
97,Oricorio,,
98,Cutiefly,,
99,Ribombee,,
100,Flabébé,,
101,Floette,,
102,Florges,,
103,Petilil,,
104,Lilligant,,
105,Cottonee,,
106,Whimsicott,,
107,Psyduck,,
108,Golduck,,
109,Smoochum,,
110,Jynx,,
111,Magikarp,,
112,Gyarados,,
113,Barboach,,
114,Whiscash,,
115,Seel,,
116,Dewgong,,
117,Machop,,
118,Machoke,,
119,Machamp,,
120,Roggenrola,,
121,Boldore,,
122,Gigalith,,
123,Carbink,,
124,Sableye,,
125,Mawile,,
126,Rockruff,,
127,Lycanroc,,
128,Spinda,,
129,Tentacool,,
130,Tentacruel,,
131,Finneon,,
132,Lumineon,,
133,Wishiwashi,,
134,Luvdisc,,
135,Corsola,,
136,Mareanie,,
137,Toxapex,,
138,Shellder,,
139,Cloyster,,
140,Clamperl,,
141,Huntail,,
142,Gorebyss,,
143,Remoraid,,
144,Octillery,,
145,Mantyke,,
146,Mantine,,
147,Bagon,,
148,Shelgon,,
149,Salamence,,
150,Tapu Koko,,
