dexNumber,pokemon,form,notes
1,Pikipek,,
2,Trumbeak,,
3,Toucannon,,
4,Yungoos,,
5,Gumshoos,,
6,Rattata,,
7,Raticate,,
8,Buneary,,
9,Lopunny,,
10,Inkay,,
11,Malamar,,
12,Zorua,,
13,Zoroark,,
14,Furfrou,,
15,Happiny,,
16,Chansey,,
17,Blissey,,
18,Wingull,,
19,Pelipper,,
20,Drowzee,,
21,Hypno,,
22,Makuhita,,
23,Hariyama,,
24,Crabrawler,,
25,Crabominable,,
26,Zubat,,
27,Golbat,,
28,Crobat,,
29,Noibat,,
30,Noivern,,
31,Diglett,,
32,Dugtrio,,
33,Spearow,,
34,Fearow,,
35,Rufflet,,
36,Braviary,,
37,Vullaby,,
38,Mandibuzz,,
39,Mankey,,
40,Primeape,,
41,Oricorio,,
42,Cutiefly,,
43,Ribombee,,
44,Flabébé,,
45,Floette,,
46,Florges,,
47,Petilil,,
48,Lilligant,,
49,Cottonee,,
50,Whimsicott,,
51,Psyduck,,
52,Golduck,,
53,Magikarp,,
54,Gyarados,,
55,Barboach,,
56,Whiscash,,
57,Machop,,
58,Machoke,,
59,Machamp,,
60,Roggenrola,,
61,Boldore,,
62,Gigalith,,
63,Carbink,,
64,Sableye,,
65,Rockruff,,
66,Lycanroc,,
67,Tentacool,,
68,Tentacruel,,
69,Finneon,,
70,Lumineon,,
71,Mudbray,,
72,Mudsdale,,
73,Tauros,,
74,Miltank,,
75,Basculin,,
76,Stufful,,
77,Bewear,,
78,Pinsir,,
79,Goomy,,
80,Sliggoo,,
81,Goodra,,
82,Castform,,
83,Wimpod,,
84,Golisopod,,
85,Skarmory,,
86,Snubbull,,
87,Granbull,,
88,Shellos,,
89,Gastrodon,,
90,Relicanth,,
91,Dhelmise,,
92,Carvanha,,
93,Sharpedo,,
94,Skrelp,,
95,Dragalge,,
96,Clauncher,,
97,Clawitzer,,
98,Wailmer,,
99,Wailord,,
100,Lapras,,
101,Tropius,,
102,Exeggcute,,
103,Exeggutor,,
104,Corphish,,
105,Crawdaunt,,
106,Mienfoo,,
107,Mienshao,,
108,Jangmo-o,,
109,Hakamo-o,,
110,Kommo-o,,
111,Emolga,,
112,Scyther,,
113,Scizor,,
114,Heracross,,
115,Aipom,,
116,Ambipom,,
117,Litleo,,
118,Pyroar,,
119,Misdreavus,,
120,Mismagius,,
121,Druddigon,,
122,Lickitung,,
123,Lickilicky,,
124,Riolu,,
125,Lucario,,
126,Dratini,,
127,Dragonair,,
128,Dragonite,,
129,Aerodactyl,,
130,Tapu Fini,,
