dexNumber,pokemon,form,notes
1,Pikipek,,
2,Trumbeak,,
3,Toucannon,,
4,Yungoos,,
5,Gumshoos,,
6,Rattata,,
7,Raticate,,
8,Ledyba,,
9,Ledian,,
10,Spinarak,,
11,Ariados,,
12,Grubbin,,
13,Charjabug,,
14,Vikavolt,,
15,Happiny,,
16,Chansey,,
17,Blissey,,
18,Slowpoke,,
19,Slowbro,,
20,Slowking,,
21,Wingull,,
22,Pelipper,,
23,Meowth,,
24,Persian,,
25,Magnemite,,
26,Magneton,,
27,Magnezone,,
28,Grimer,,
29,Muk,,
30,Crabrawler,,
31,Crabominable,,
32,Gastly,,
33,Haunter,,
34,Gengar,,
35,Zubat,,
36,Golbat,,
37,Crobat,,
38,Diglett,,
39,Dugtrio,,
40,Spearow,,
41,Fearow,,
42,Oricorio,,
43,Cutiefly,,
44,Ribombee,,
45,Flabébé,,
46,Floette,,
47,Florges,,
48,Petilil,,
49,Lilligant,,
50,Cottonee,,
51,Whimsicott,,
52,Psyduck,,
53,Golduck,,
54,Magikarp,,
55,Gyarados,,
56,Tentacool,,
57,Tentacruel,,
58,Finneon,,
59,Lumineon,,
60,Wishiwashi,,
61,Clamperl,,
62,Huntail,,
63,Gorebyss,,
64,Mudbray,,
65,Mudsdale,,
66,Surskit,,
67,Masquerain,,
68,Dewpider,,
69,Araquanid,,
70,Morelull,,
71,Shiinotic,,
72,Paras,,
73,Parasect,,
74,Poliwag,,
75,Poliwhirl,,
76,Poliwrath,,
77,Politoed,,
78,Goldeen,,
79,Seaking,,
80,Basculin,,
81,Goomy,,
82,Sliggoo,,
83,Goodra,,
84,Castform,,
85,Trubbish,,
86,Garbodor,,
87,Minccino,,
88,Cinccino,,
89,Pineco,,
90,Forretress,,
91,Skarmory,,
92,Ditto,,
93,Cleffa,,
94,Clefairy,,
95,Clefable,,
96,Elgyem,,
97,Beheeyem,,
98,Minior,,
99,Beldum,,
100,Metang,,
101,Metagross,,
102,Porygon,,
103,Porygon2,,
104,Porygon-Z,,
105,Pancham,,
106,Pangoro,,
107,Komala,,
108,Torkoal,,
109,Turtonator,,
110,Houndour,,
111,Houndoom,,
112,Dedenne,,
113,Togedemaru,,
114,Electrike,,
115,Manectric,,
116,Elekid,,
117,Electabuzz,,
118,Electivire,,
119,Geodude,,
120,Graveler,,
121,Golem,,
122,Sandile,,
123,Krokorok,,
124,Krookodile,,
125,Trapinch,,
126,Vibrava,,
127,Flygon,,
128,Gible,,
129,Gabite,,
130,Garchomp,,
131,Baltoy,,
132,Claydol,,
133,Golett,,
134,Golurk,,
135,Klefki,,
136,Mimikyu,,
137,Shuppet,,
138,Banette,,
139,Frillish,,
140,Jellicent,,
141,Bruxish,,
142,Drampa,,
143,Absol,,
144,Snorunt,,
145,Glalie,,
146,Froslass,,
147,Sneasel,,
148,Weavile,,
149,Sandshrew,,
150,Sandslash,,
151,Vulpix,,
152,Ninetales,,
153,Vanillite,,
154,Vanillish,,
155,Vanilluxe,,
156,Scraggy,,
157,Scrafty,,
158,Pawniard,,
159,Bisharp,,
160,Tapu Bulu,,
