dexNumber,pokemon,form,notes
1,Chespin,,
2,Quilladin,,
3,Chesnaught,,
4,Fennekin,,
5,Braixen,,
6,Delphox,,
7,Froakie,,
8,Frogadier,,
9,Greninja,,
10,Bunnelby,,
11,Diggersby,,
12,Zigzagoon,,
13,Linoone,,
14,Fletchling,,
15,Fletchinder,,
16,Talonflame,,
17,Pidgey,,
18,Pidgeotto,,
19,Pidgeot,,
20,Scatterbug,,
21,Spewpa,,
22,Vivillon,,
23,Caterpie,,
24,Metapod,,
25,Butterfree,,
26,Weedle,,
27,Kakuna,,
28,Beedrill,,
29,Pansage,,
30,Simisage,,
31,Pansear,,
32,Simisear,,
33,Panpour,,
34,Simipour,,
35,Pichu,,
36,Pikachu,,
37,Raichu,,
38,Bidoof,,
39,Bibarel,,
40,Dunsparce,,
41,Azurill,,
42,Marill,,
43,Azumarill,,
44,Burmy,,
45,Wormadam,,
46,Mothim,,
47,Surskit,,
48,Masquerain,,
49,Magikarp,,
50,Gyarados,,
51,Corphish,,
52,Crawdaunt,,
53,Goldeen,,
54,Seaking,,
55,Carvanha,,
56,Sharpedo,,
57,Litleo,,
58,Pyroar,,
59,Psyduck,,
60,Golduck,,
61,Farfetch'd,,
62,Riolu,,
63,Lucario,,
64,Ralts,,
65,Kirlia,,
66,Gardevoir,,
67,Gallade,,
68,Flabébé,,
69,Floette,,
70,Florges,,
71,Budew,,
72,Roselia,,
73,Roserade,,
74,Ledyba,,
75,Ledian,,
76,Combee,,
77,Vespiquen,,
78,Skitty,,
79,Delcatty,,
80,Bulbasaur,,
81,Ivysaur,,
82,Venusaur,,
83,Charmander,,
84,Charmeleon,,
85,Charizard,,
86,Squirtle,,
87,Wartortle,,
88,Blastoise,,
89,Skiddo,,
90,Gogoat,,
91,Pancham,,
92,Pangoro,,
93,Furfrou,,
94,Doduo,,
95,Dodrio,,
96,Plusle,,
97,Minun,,
98,Gulpin,,
99,Swalot,,
100,Scraggy,,
101,Scrafty,,
102,Abra,,
103,Kadabra,,
104,Alakazam,,
105,Oddish,,
106,Gloom,,
107,Vileplume,,
108,Bellossom,,
109,Sentret,,
110,Furret,,
111,Nincada,,
112,Ninjask,,
113,Shedinja,,
114,Espurr,,
115,Meowstic,,
116,Kecleon,,
117,Honedge,,
118,Doublade,,
119,Aegislash,,
120,Venipede,,
121,Whirlipede,,
122,Scolipede,,
123,Audino,,
124,Smeargle,,
125,Croagunk,,
126,Toxicroak,,
127,Ducklett,,
128,Swanna,,
129,Spritzee,,
130,Aromatisse,,
131,Swirlix,,
132,Slurpuff,,
133,Volbeat,,
134,Illumise,,
135,Hoppip,,
136,Skiploom,,
137,Jumpluff,,
138,Munchlax,,
139,Snorlax,,
140,Whismur,,
141,Loudred,,
142,Exploud,,
143,Meditite,,
144,Medicham,,
145,Zubat,,
146,Golbat,,
147,Crobat,,
148,Axew,,
149,Fraxure,,
150,Haxorus,,
151,Diancie,,
152,Hoopa,,
153,Volcanion,,
