dexNumber,pokemon,form,notes
1,Drifloon,,
2,Drifblim,,
3,Mienfoo,,
4,Mienshao,,
5,Zangoose,,
6,Seviper,,
7,Spoink,,
8,Grumpig,,
9,Absol,,
10,Inkay,,
11,Malamar,,
12,Lunatone,,
13,Solrock,,
14,Bagon,,
15,Shelgon,,
16,Salamence,,
17,Wingull,,
18,Pelipper,,
19,Taillow,,
20,Swellow,,
21,Binacle,,
22,Barbaracle,,
23,Dwebble,,
24,Crustle,,
25,Tentacool,,
26,Tentacruel,,
27,Wailmer,,
28,Wailord,,
29,Luvdisc,,
30,Skrelp,,
31,Dragalge,,
32,Clauncher,,
33,Clawitzer,,
34,Staryu,,
35,Starmie,,
36,Shellder,,
37,Cloyster,,
38,Qwilfish,,
39,Horsea,,
40,Seadra,,
41,Kingdra,,
42,Relicanth,,
43,Sandile,,
44,Krokorok,,
45,Krookodile,,
46,Helioptile,,
47,Heliolisk,,
48,Hippopotas,,
49,Hippowdon,,
50,Rhyhorn,,
51,Rhydon,,
52,Rhyperior,,
53,Onix,,
54,Steelix,,
55,Woobat,,
56,Swoobat,,
57,Machop,,
58,Machoke,,
59,Machamp,,
60,Cubone,,
61,Marowak,,
62,Kangaskhan,,
63,Mawile,,
64,Tyrunt,,
65,Tyrantrum,,
66,Amaura,,
67,Aurorus,,
68,Aerodactyl,,
69,Ferroseed,,
70,Ferrothorn,,
71,Snubbull,,
72,Granbull,,
73,Electrike,,
74,Manectric,,
75,Houndour,,
76,Houndoom,,
77,Eevee,,
78,Vaporeon,,
79,Jolteon,,
80,Flareon,,
81,Espeon,,
82,Umbreon,,
83,Leafeon,,
84,Glaceon,,
85,Sylveon,,
86,Emolga,,
87,Yanma,,
88,Yanmega,,
89,Hawlucha,,
90,Sigilyph,,
91,Golett,,
92,Golurk,,
93,Nosepass,,
94,Probopass,,
95,Makuhita,,
96,Hariyama,,
97,Throh,,
98,Sawk,,
99,Starly,,
100,Staravia,,
101,Staraptor,,
102,Stunky,,
103,Skuntank,,
104,Nidoran♀,,
105,Nidorina,,
106,Nidoqueen,,
107,Nidoran♂,,
108,Nidorino,,
109,Nidoking,,
110,Dedenne,,
111,Chingling,,
112,Chimecho,,
113,Mime Jr.,,
114,Mr. Mime,,
115,Solosis,,
116,Duosion,,
117,Reuniclus,,
118,Wynaut,,
119,Wobbuffet,,
120,Roggenrola,,
121,Boldore,,
122,Gigalith,,
123,Sableye,,
124,Carbink,,
125,Tauros,,
126,Miltank,,
127,Mareep,,
128,Flaaffy,,
129,Ampharos,,
130,Pinsir,,
131,Heracross,,
132,Pachirisu,,
133,Slowpoke,,
134,Slowbro,,
135,Slowking,,
136,Exeggcute,,
137,Exeggutor,,
138,Chatot,,
139,Mantyke,,
140,Mantine,,
141,Clamperl,,
142,Huntail,,
143,Gorebyss,,
144,Remoraid,,
145,Octillery,,
146,Corsola,,
147,Chinchou,,
148,Lanturn,,
149,Alomomola,,
150,Lapras,,
151,Articuno,,
152,Zapdos,,
153,Moltres,,
