dexNumber,pokemon,form,notes
1,Diglett,,
2,Dugtrio,,
3,Trapinch,,
4,Vibrava,,
5,Flygon,,
6,Gible,,
7,Gabite,,
8,Garchomp,,
9,Geodude,,
10,Graveler,,
11,Golem,,
12,Slugma,,
13,Magcargo,,
14,Shuckle,,
15,Skorupi,,
16,Drapion,,
17,Wooper,,
18,Quagsire,,
19,Goomy,,
20,Sliggoo,,
21,Goodra,,
22,Karrablast,,
23,Escavalier,,
24,Shelmet,,
25,Accelgor,,
26,Bellsprout,,
27,Weepinbell,,
28,Victreebel,,
29,Carnivine,,
30,Gastly,,
31,Haunter,,
32,Gengar,,
33,Poliwag,,
34,Poliwhirl,,
35,Poliwrath,,
36,Politoed,,
37,Ekans,,
38,Arbok,,
39,Stunfisk,,
40,Barboach,,
41,Whiscash,,
42,Purrloin,,
43,Liepard,,
44,Poochyena,,
45,Mightyena,,
46,Patrat,,
47,Watchog,,
48,Pawniard,,
49,Bisharp,,
50,Klefki,,
51,Murkrow,,
52,Honchkrow,,
53,Foongus,,
54,Amoonguss,,
55,Lotad,,
56,Lombre,,
57,Ludicolo,,
58,Buizel,,
59,Floatzel,,
60,Basculin,,
61,Phantump,,
62,Trevenant,,
63,Pumpkaboo,,
64,Gourgeist,,
65,Litwick,,
66,Lampent,,
67,Chandelure,,
68,Rotom,,
69,Magnemite,,
70,Magneton,,
71,Magnezone,,
72,Voltorb,,
73,Electrode,,
74,Trubbish,,
75,Garbodor,,
76,Swinub,,
77,Piloswine,,
78,Mamoswine,,
79,Bergmite,,
80,Avalugg,,
81,Cubchoo,,
82,Beartic,,
83,Smoochum,,
84,Jynx,,
85,Vanillite,,
86,Vanillish,,
87,Vanilluxe,,
88,Snover,,
89,Abomasnow,,
90,Delibird,,
91,Sneasel,,
92,Weavile,,
93,Timburr,,
94,Gurdurr,,
95,Conkeldurr,,
96,Torkoal,,
97,Sandshrew,,
98,Sandslash,,
99,Aron,,
100,Lairon,,
101,Aggron,,
102,Larvitar,,
103,Pupitar,,
104,Tyranitar,,
105,Heatmor,,
106,Durant,,
107,Spinarak,,
108,Ariados,,
109,Spearow,,
110,Fearow,,
111,Cryogonal,,
112,Skarmory,,
113,Noibat,,
114,Noivern,,
115,Gligar,,
116,Gliscor,,
117,Hoothoot,,
118,Noctowl,,
119,Igglybuff,,
120,Jigglypuff,,
121,Wigglytuff,,
122,Shuppet,,
123,Banette,,
124,Zorua,,
125,Zoroark,,
126,Gothita,,
127,Gothorita,,
128,Gothitelle,,
129,Bonsly,,
130,Sudowoodo,,
131,Spinda,,
132,Teddiursa,,
133,Ursaring,,
134,Lickitung,,
135,Lickilicky,,
136,Scyther,,
137,Scizor,,
138,Ditto,,
139,Swablu,,
140,Altaria,,
141,Druddigon,,
142,Deino,,
143,Zweilous,,
144,Hydreigon,,
145,Dratini,,
146,Dragonair,,
147,Dragonite,,
148,Xerneas,,
149,Yveltal,,
150,Zygarde,,
151,Mewtwo,,
