id,displayName,region,generation,releaseYear
red,Red,Kanto,1,1996
blue,Blue,Kanto,1,1996
yellow,Yellow,Kanto,1,1998
lg--pikachu,LG: Pikachu,Kanto,7,2018
lg--eevee,LG: Eevee,Kanto,7,2018
gold,Gold,Johto,2,1999
silver,Silver,Johto,2,1999
crystal,Crystal,Johto,2,2000
ruby,Ruby,Hoenn,3,2002
sapphire,Sapphire,Hoenn,3,2002
emerald,Emerald,Hoenn,3,2004
omega-ruby,Omega Ruby,Hoenn,6,2014
alpha-sapphire,Alpha Sapphire,Hoenn,6,2014
heartgold,HeartGold,Johto,4,2009
soulsilver,SoulSilver,Johto,4,2009
legends-arceus,Legends: Arceus,Hisui,8,2022
