pokedexNumber,name,form,games,regionalNumber
1,Bulbasaur,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,1
2,Ivysaur,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,2
3,Venusaur,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,3
3,Venusaur,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
4,Charmander,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,4
5,Charmeleon,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,5
6,Charizard,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,6
7,Squirtle,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,7
8,Wartortle,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,8
9,Blastoise,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,9
10,Caterpie,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,10
11,Metapod,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,11
12,Butterfree,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,12
12,Butterfree,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
13,Weedle,,Red|Blue|LG: Pikachu|LG: Eevee,13
14,Kakuna,,Red|Blue|LG: Pikachu|LG: Eevee,14
15,Beedrill,,Red|Blue|LG: Pikachu|LG: Eevee,15
16,Pidgey,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,16
17,Pidgeotto,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,17
18,Pidgeot,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,18
19,Rattata,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,19
19,Rattata,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
20,Raticate,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,20
20,Raticate,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
21,Spearow,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,21
22,Fearow,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,22
23,Ekans,,Red|Blue|LG: Eevee,23
24,Arbok,,Red|Blue|LG: Eevee,24
25,Pikachu,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,25
25,Pikachu,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
26,Raichu,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,26
26,Raichu,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
27,Sandshrew,,Blue|Yellow|LG: Pikachu,27
28,Sandslash,,Blue|Yellow|LG: Pikachu,28
29,Nidoran♀,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,29
30,Nidorina,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,30
31,Nidoqueen,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,31
32,Nidoran♂,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,32
33,Nidorino,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,33
34,Nidoking,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,34
35,Clefairy,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,35
36,Clefable,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,36
37,Vulpix,,Blue|Yellow|LG: Eevee,37
38,Ninetales,,Blue|Yellow|LG: Eevee,38
39,Jigglypuff,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,39
40,Wigglytuff,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,40
41,Zubat,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,41
41,Zubat,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
42,Golbat,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,42
42,Golbat,Female,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,
43,Oddish,,Red|Yellow|LG: Pikachu,43
44,Gloom,,Red|Yellow|LG: Pikachu,44
44,Gloom,Female,Red|Yellow|LG: Pikachu,
45,Vileplume,,Red|Yellow|LG: Pikachu,45
45,Vileplume,Female,Red|Yellow|LG: Pikachu,
46,Paras,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,46
47,Parasect,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,47
48,Venonat,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,48
49,Venomoth,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,49
50,Diglett,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,50
51,Dugtrio,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,51
52,Meowth,,Blue|LG: Eevee,52
53,Persian,,Blue|LG: Eevee,53
54,Psyduck,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,54
55,Golduck,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,55
56,Mankey,,Red|Yellow|LG: Pikachu,56
57,Primeape,,Red|Yellow|LG: Pikachu,57
58,Growlithe,,Red|Yellow|LG: Pikachu,58
59,Arcanine,,Red|Yellow|LG: Pikachu|LG: Eevee,59
60,Poliwag,,Red|Blue|Yellow|LG: Pikachu|LG: Eevee,60
