pokedexNumber,name,form,originGames,regionalDexGames,regionalNumber
252,Treecko,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,001
253,Grovyle,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,002
254,Sceptile,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,003
255,Torchic,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,004
256,Combusken,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,005
257,Blaziken,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,006
258,Mudkip,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,007
259,Marshtomp,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,008
260,Swampert,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,009
261,Poochyena,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,010
262,Mightyena,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,011
263,Zigzagoon,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,012
264,Linoone,,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,Ruby|Sapphire|Emerald|Omega Ruby|Alpha Sapphire,013
