pokedexNumber,name,form,originGames,regionalDexGames,regionalNumber
387,Turtwig,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,001
388,Grotle,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,002
389,Torterra,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,003
390,Chimchar,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,004
391,Monferno,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,005
392,Infernape,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,006
393,Piplup,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,007
394,Prinplup,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,008
395,Empoleon,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,009
396,Starly,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,010
396,Starly,Female,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,010
397,Staravia,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,011
397,Staravia,Female,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,011
398,Staraptor,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,012
398,Staraptor,Female,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,012
399,Bidoof,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,013
399,Bidoof,Female,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,013
400,Bibarel,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,014
400,Bibarel,Female,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,014
401,Kricketot,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,015
402,Kricketune,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,016
403,Shinx,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,017
404,Luxio,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,018
405,Luxray,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,019
406,Budew,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,020
407,Roserade,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,021
408,Cranidos,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,022
409,Rampardos,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,023
410,Shieldon,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,024
411,Bastiodon,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,025
412,Burmy,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,026
412,Burmy,Leaf Cloak,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,026
412,Burmy,Sand Cloak,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,026
412,Burmy,Trash Cloak,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,026
413,Wormadam,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,027
413,Wormadam,Leaf Cloak,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,027
413,Wormadam,Sand Cloak,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,027
413,Wormadam,Trash Cloak,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,027
414,Mothim,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,028
415,Combee,,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,Diamond|Pearl|Platinum|Brilliant Diamond|Shining Pearl,029
